Retort ID,tags,retort,who,what,when,where
7,Bush,"I promise you I will listen to what has been said here, even though I wasn't here.",George W. Bush,,13-Aug-2002,"President's Economic Forum in Waco, Texas"
8,Bush,My answer is bring them on.,George W. Bush,On Iraqi insurgents attacking U.S. forces,3-Jul-2003,"Washington, D.C."
9,Bush,"I just want you to know that, when we talk about war, we're really talking about peace.",George W. Bush,,18-Jun-2002,"Washington, D.C."
10,Bush,Can we win? I don't think you can win it.,George W. Bush,After being asked whether the war on terror was winnable,30-Aug-2004,Today  show interview
11,Bush,"I try to go for longer runs, but it's tough around here at the White House on the outdoor track. It's sad that I can't run longer. It's one of the saddest things about the presidency.",George W. Bush, Interview with  Runners World,,
12,Bush,"But all in all, it's been a fabulous year for Laura and me.",George W. Bush,"Summing up his first year in office, three months after the 9/11 attacks",20-Dec-2001,"Washington, D.C."
13,Bush,I don't know where bin Laden is. I have no idea and really don't care. It's not that important. It's not our priority.,George W. Bush,,13-Mar-2002,"Washington, D.C."
14,Bush,The most important thing is for us to find Osama bin Laden. It is our number one priority and we will not rest until we find him.,George W. Bush,,13-Sep-2001,"Washington, D.C."
15,Bush,"In Iraq, no doubt about it, it's tough. It's hard work. It's incredibly hard.",George W. Bush,"Repeating the phrases, hard work, working hard, hard choices, and other hard-based verbiage 22 times in his first debate with Sen. John Kerry",,
16,Bush,The British government has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.,George W. Bush, State of the Union Address making a claim that administration officials knew at the time to be false,28-Jan-2003,
17,Bush,"See, free nations are peaceful nations. Free nations don't attack each other. Free nations don't develop weapons of mass destruction.",George W. Bush,,3-Oct-2003,"Milwaukee, WI"
18,Bush,"You know, when I was one time campaigning in Chicago, a reporter said, 'Would you ever have a deficit?' I said, 'I can't imagine it, but there would be one if we had a war, or a national emergency, or a recession.' Never did I dream we'd get the trifecta.",George W. Bush,,14-Jun-2002,"Houston, TX"
19,Bush,"Our enemies are innovative and resourceful, and so are we. They never stop thinking about new ways to harm our country and our people, and neither do we.",George W. Bush,,5-Aug-2004,"Washington, D.C."
20,Bush,"My plan reduces the national debt, and fast. So fast, in fact, that economists worry that we're going to run out of debt to retire.",George W. Bush,Radio address,24-Feb-2001,
21,Bush,The really rich people figure out how to dodge taxes anyway.,George W. Bush,Explaining why high taxes on the rich are a failed strategy,9-Aug-2004," Annandale, VA"
22,Bush,"I wish you'd have given me this written question ahead of time so I could plan for it...I'm sure something will pop into my head here in the midst of this press conference, with all the pressure of trying to come up with answer, but it hadn't yet....I don't want to sound like I have made no mistakes. I'm confident I have. I just haven't -- you just put me under the spot here, and maybe I'm not as quick on my feet as I should be in coming up with one.",George W. Bush, After being asked to name the biggest mistake he had made,3-Apr-2004,"Washington, D.C."
23,Bush,"People say, how can I help on this war against terror? How can I fight evil? You can do so by mentoring a child; by going into a shut-in's house and say I love you.",George W. Bush,,19-Sep-2002,"Washington, D.C."
24,Bush,We need to counter the shockwave of the evildoer by having individual rate cuts accelerated and by thinking about tax rebates.,George W. Bush,,4-Oct-2001,"Washington, D.C."
25,Bush,I know what I believe. I will continue to articulate what I believe and what I believe -- I believe what I believe is right.,George W. Bush,,22-Jul-2001,"Rome, Italy"
26,Bush,"I'm also not very analytical. You know I don't spend a lot of time thinking about myself, about why I do things.",George W. Bush,,4-Jun-2003,Air Force One
27,Bush,I'm the master of low expectations.,George W. Bush,,4-Jun-2003,Air Force One
28,Bush,You forgot Poland.,George W. Bush,To Sen. John Kerry during the first presidential debate after Kerry failed to mention Poland's contributions to the Iraq war coalition,30-Sep-2004,"Miami, FL"
29,Bush,I don't know why you're talking about Sweden. They're the neutral one. They don't have an army.,George W. Bush,During a Dec. 2002 Oval Office meeting with Rep. Tom Lantos as reported by the New York Times,,
30,Bush,Too many good docs are getting out of the business. Too many OB-GYNs aren't able to practice their love with women all across this country.,George W. Bush,,6-Sep-2004,"Poplar Bluff, MO"
31,Bush,"For every fatal shooting, there were roughly three non-fatal shootings. And, folks, this is unacceptable in America. It's just unacceptable. And we're going to do something about it.",George W. Bush,,14-May-2001,"Philadelphia, PN"
32,Bush,I couldn't imagine somebody like Osama bin Laden understanding the joy of Hanukkah.,George W. Bush,At a White House menorah lighting ceremony,10-Dec-2001,"Washington, D.C."
33,Bush,It is white.,George W. Bush,After being asked by a child in Britain what the White House was like,19-Jul-2001,
34,Bush,"I got to know Ken Lay when he was head of the -- what they call the Governor's Business Council in Texas. He was a supporter of Ann Richards in my run in 1994. And she had named him the head of the Governor's Business Council. And I decided to leave him in place, just for the sake of continuity. And that's when I first got to know Ken and worked with Ken.",George W. Bush,Attempting to distance himself from his biggest political patron Enron Chairman Ken Lay whom he nicknamed Kenny Boy,10-Jan-2002,"Washington, D.C."
35,Bush,This foreign policy stuff is a little frustrating.,George W. Bush,As quoted by the New York Daily News,23-Apr-2002,
36,Bush,"Do you have blacks, too?",George W. Bush,To Brazilian President Fernando Cardoso,8-Nov-2001,"Washington, D.C."
37,Bush,"After standing on the stage, after the debates, I made it very plain, we will not have an all-volunteer army. And yet, this week -- we will have an all-volunteer army!",George W. Bush,,16-Oct-2004,"Daytona Beach, FL"
38,Bush,We need an energy bill that encourages consumption.,George W. Bush,,23-Sep-2002," Trenton, NJ"
39,Bush,Haven't we already given money to rich people? Why are we going to do it again?,George W. Bush,To economic advisers discussing a second round of tax cuts as quoted by former Treasury Secretary Paul O'Neil,26-Nov-2002,"Washington, D.C."
40,Bush,I hear there's rumors on the Internets that we're going to have a draft.,George W. Bush,Presidential debate,8-Oct-2004," St. Louis,  Mo."
41,Bush,"There's an old saying in Tennessee -- I know it's in Texas, probably in Tennessee -- that says, fool me once, shame on -- shame on you. Fool me -- you can't get fooled again.",George W. Bush,,17-Sep-2002,"Nashville, TN"
42,Bush,"Oh, no, we're not going to have any casualties.",George W. Bush,Discussing the Iraq war with Christian Coalition founder Pat Robertson as quoted by Robertson,,
43,Bush,"I saw a poll that said the right track/wrong track in Iraq was better than here in America. It's pretty darn strong. I mean, the people see a better future.",George W. Bush,,23-Sep-2004,"Washington, D.C."
44,Bush,"The war on terror involves Saddam Hussein because of the nature of Saddam Hussein, the history of Saddam Hussein, and his willingness to terrorize himself.",George W. Bush,,29-Jan-2003,"Grand Rapids, MI"
45,Bush,"I am here to make an announcement that this Thursday, ticket counters and airplanes will fly out of Ronald Reagan Airport.",George W. Bush,,3-Oct-2001,"Washington, D.C."
46,Bush,"I'm the commander -- see, I don't need to explain -- I do not need to explain why I say things. That's the interesting thing about being president.",George W. Bush,As quoted in Bob Woodward's Bush at War,,
47,Bush,"I glance at the headlines just to kind of get a flavor for what's moving. I rarely read the stories, and get briefed by people who are probably read the news themselves.",George W. Bush,,21-Sep-2003,"Washington, D.C."
